Link,Date,Gamertags
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=687336689&player=shnateman,"2011-07-05 22:04:00","TheeExistential,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=687220973&player=shnateman,"2011-07-05 20:46:00","DrZoidbergOBGYN,TheeExistential,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=687192710&player=shnateman,"2011-07-05 20:29:00","DrZoidbergOBGYN,TheeExistential,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=687142426&player=shnateman,"2011-07-05 19:59:00","TheeExistential,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=687110812&player=shnateman,"2011-07-05 19:40:00","TheeExistential,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=685604113&player=shnateman,"2011-07-04 23:52:00","Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=681954752&player=shnateman,"2011-07-03 00:33:00","Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=681949252&player=shnateman,"2011-07-03 00:25:00","DrZoidbergOBGYN,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=681942485&player=shnateman,"2011-07-03 00:17:00","DrZoidbergOBGYN,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=681936623&player=shnateman,"2011-07-03 00:09:00","DrZoidbergOBGYN,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=681929424&player=shnateman,"2011-07-03 00:01:00","DrZoidbergOBGYN,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=681920584&player=shnateman,"2011-07-02 23:50:00","DrZoidbergOBGYN,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=681908676&player=shnateman,"2011-07-02 23:37:00","DrZoidbergOBGYN,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=681899148&player=shnateman,"2011-07-02 23:27:00","DrZoidbergOBGYN,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=681885909&player=shnateman,"2011-07-02 23:13:00","DrZoidbergOBGYN,Kygrx,TheeExistential,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=681867420&player=shnateman,"2011-07-02 22:55:00","DrZoidbergOBGYN,Kygrx,TheeExistential,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=680452030&player=shnateman,"2011-07-02 01:44:00","Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=680434102&player=shnateman,"2011-07-02 01:15:00","Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=680416234&player=shnateman,"2011-07-02 00:49:00","DrZoidbergOBGYN,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=680395210&player=shnateman,"2011-07-02 00:20:00","DrZoidbergOBGYN,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=680388729&player=shnateman,"2011-07-02 00:13:00","DrZoidbergOBGYN,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=680377873&player=shnateman,"2011-07-01 23:58:00","DrZoidbergOBGYN,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=680361171&player=shnateman,"2011-07-01 23:39:00","DrZoidbergOBGYN,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=678810322&player=shnateman,"2011-07-01 00:18:00","DrZoidbergOBGYN,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=678797280&player=shnateman,"2011-07-01 00:01:00","DrZoidbergOBGYN,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=678781097&player=shnateman,"2011-06-30 23:43:00","DrZoidbergOBGYN,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=678770287&player=shnateman,"2011-06-30 23:30:00","DrZoidbergOBGYN,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=678752961&player=shnateman,"2011-06-30 23:12:00","DrZoidbergOBGYN,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=677103094&player=shnateman,"2011-06-30 01:47:00","Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=677097795&player=shnateman,"2011-06-30 01:37:00","Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=677095655&player=shnateman,"2011-06-30 01:33:00","Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=677090185&player=shnateman,"2011-06-30 01:24:00","Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=677086119&player=shnateman,"2011-06-30 01:16:00","Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=677082146&player=shnateman,"2011-06-30 01:09:00","Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=677076082&player=shnateman,"2011-06-30 01:00:00","Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=677071991&player=shnateman,"2011-06-30 00:53:00","Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=677068218&player=shnateman,"2011-06-30 00:47:00","Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=677061233&player=shnateman,"2011-06-30 00:37:00","Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=677056185&player=shnateman,"2011-06-30 00:30:00","Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=677050043&player=shnateman,"2011-06-30 00:21:00","Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=676962504&player=shnateman,"2011-06-29 22:43:00","DrZoidbergOBGYN,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=676960880&player=shnateman,"2011-06-29 22:40:00","DrZoidbergOBGYN,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=676946330&player=shnateman,"2011-06-29 22:27:00","DrZoidbergOBGYN,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=676931475&player=shnateman,"2011-06-29 22:14:00","DrZoidbergOBGYN,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=676918219&player=shnateman,"2011-06-29 22:03:00","DrZoidbergOBGYN,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=676903771&player=shnateman,"2011-06-29 21:51:00","DrZoidbergOBGYN,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=676877544&player=shnateman,"2011-06-29 21:31:00","DrZoidbergOBGYN,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=676866069&player=shnateman,"2011-06-29 21:23:00","DrZoidbergOBGYN,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=676849921&player=shnateman,"2011-06-29 21:11:00","DrZoidbergOBGYN,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=676840936&player=shnateman,"2011-06-29 21:05:00","DrZoidbergOBGYN,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=676800315&player=shnateman,"2011-06-29 20:37:00","DrZoidbergOBGYN,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=676785667&player=shnateman,"2011-06-29 20:27:00","DrZoidbergOBGYN,Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=676633338&player=shnateman,"2011-06-29 18:50:00","Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=676230655&player=shnateman,"2011-06-29 14:44:00","Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=675996391&player=shnateman,"2011-06-29 12:32:00","Kygrx,shnateman"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=675989590&player=shnateman,"2011-06-29 12:28:00","Kygrx,shnateman"
