Link,Date
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=676918219&player=shnateman,"6.29.2011 10:03PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=676903771&player=shnateman,"6.29.2011 9:51PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=676877544&player=shnateman,"6.29.2011 9:31PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=676866069&player=shnateman,"6.29.2011 9:23PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=676849921&player=shnateman,"6.29.2011 9:11PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=676840936&player=shnateman,"6.29.2011 9:05PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=676800315&player=shnateman,"6.29.2011 8:37PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=676785667&player=shnateman,"6.29.2011 8:27PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=676633338&player=shnateman,"6.29.2011 6:50PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=676230655&player=shnateman,"6.29.2011 2:44PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=675996391&player=shnateman,"6.29.2011 12:32PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=675989590&player=shnateman,"6.29.2011 12:28PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=675935195&player=shnateman,"6.29.2011 11:56AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=675920434&player=shnateman,"6.29.2011 11:48AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=675148502&player=shnateman,"6.28.2011 9:00PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=675109484&player=shnateman,"6.28.2011 8:34PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=673503602&player=shnateman,"6.27.2011 11:03PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=673489543&player=shnateman,"6.27.2011 10:50PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=673478970&player=shnateman,"6.27.2011 10:41PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=671537614&player=shnateman,"6.27.2011 12:11AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=671528000&player=shnateman,"6.26.2011 11:59PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=671506696&player=shnateman,"6.26.2011 11:34PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=671495025&player=shnateman,"6.26.2011 11:22PM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=669604648&player=shnateman,"6.26.2011 12:45AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=669592228&player=shnateman,"6.26.2011 12:31AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=669581146&player=shnateman,"6.26.2011 12:18AM"
http://halo.bungie.net/Stats/Reach/GameStats.aspx?gameid=669563218&player=shnateman,"6.25.2011 11:59PM"
